domain,country,city,address,zipcode,orgnization,admin email
www.naver.com,KR,Gyeonggi,"6 Buljung-ro, Bundang-gu, Seongnam-si, Gyeonggi-do, 463-867, Korea",463463,NAVER Corp.,-
www.google.com,US,None,-,-,Google LLC,-
www.openbase.co.kr,-,-,"4F, Hibrand, 16 Maeheon-ro Seocho-gu, Seoul, KR",6771,Openbase,isjang@openbase.co.kr
www.daum.net,KR,Jeju-do,"242, Jeju-si Cheomdan-ro, Jeju-do, KR",63309,Kakao Corp.,-
www.seoul.go.kr,-,-,"Taepyeongno 1-ga, Jung-gu, Seoul, Republic of Korea, 31, Seoul KR",100744,Seoul Metropolitan Government,domain@seoul.go.kr
www.data.go.kr,-,-,"Central Government Complex, 209 Sejong-daero(Sejong-ro). Jongno-, &nbsp;",560838,MINISTRY OF Public Administration and Security,domain-manager@nia.or.kr
www.yes24.com,KR,Seoul,"15-15, Yeouido-dong, Yeongdeungpo-gu, Seoul, Korea",150872,Yes24. Co. Ltd,-
www.amazon.com,US,Reno,P.O. Box 8102,89507,"Amazon Technologies, Inc.",-
www.koreabaseball.com,KR,Gyeonggi-do,6th floor 41 Beolmal-ro 50beon-gil Bundang-gu Seongnam-si,13503,sports2i,-
www.homeplus.co.kr,-,-,"701-2 Yeoksam-Dong Gangnam-gu, Seoul",135080,"Homeplus Co., Ltd.",kate_kim@homeplus.co.kr
www.nst.re.kr,-,-,"R&D Support Bldg.  Sejong National, Research Complex 370 Sicheong-daero  Sejong-si",30147,National Research Council of Science & Technology,siru82@nst.re.kr
www.11st.co.kr,-,-,"416, Hangang-daero, Jung-gu, Seoul,",4637,"Eleven Street Co.,Ltd.",domain@11stcorp.com
www.gscaltex.com,KR,Seoul,GS Gangnam Tower Yeoksam 1(il)-dong Gangnam-gu Seoul 679,135985,GSCaltex,-
www.gmarket.co.kr,-,-,"34F, Gangnam Finance Center, 737 Yeoksam-dong,Gangnam-gu,Seoul, N/A",135984,"eBay Korea Co., Ltd.",DL-SEL-Network@ebay.com
jtbc.joins.com,KR,Seoul,100 Seosomun-ro Jung-gu,4513,Joins Corporation,-
